Order_ID,Buyer_ID,Supplier_ID,Product_Category,Quantity_Ordered,Order_Date,Dispatch_Date,Delivery_Date,Shipping_Mode,Order_Value_USD,Delay_Days,Disruption_Type,Disruption_Severity,Historical_Disruption_Count,Supplier_Reliability_Score,Organization_ID,Dominant_Buyer_Flag,Available_Historical_Records,Data_Sharing_Consent,Federated_Round,Parameter_Change_Magnitude,Communication_Cost_MB,Energy_Consumption_Joules,Supply_Risk_Flag
O1000,B33,S23,Textiles,469,2023-10-24,2023-10-27,2023-10-28,Rail,36273.99,0,None,None,11,0.73,Org13,0,127,1,10,0.0225,2.27,236.06,0
O1001,B1,S20,Machinery,365,2023-07-07,2023-07-08,2023-07-09,Road,34780.36,0,None,None,1,0.88,Org8,1,909,1,7,0.0412,3.1,257.8,0
O1002,B2,S10,Food,333,2023-12-28,2023-12-29,2024-01-07,Rail,7154.54,7,Shortage,Low,19,0.95,Org4,0,262,1,8,0.1183,2.82,165.38,1
O1003,B6,S10,Machinery,142,2023-01-14,2023-01-17,2023-01-20,Rail,15320.08,0,None,None,17,0.92,Org18,1,807,1,9,0.2611,3.59,377.47,0
O1004,B5,S4,Machinery,897,2023-01-12,2023-01-14,2023-01-16,Road,18256.42,0,None,None,5,0.6,Org13,0,789,1,7,0.2775,3.42,83.1,0
O1005,B9,S11,Pharma,814,2023-03-28,2023-03-30,2023-04-08,Rail,40319.64,0,None,None,9,0.72,Org14,0,812,1,10,0.0268,2.41,150.24,0
O1006,B34,S30,Food,849,2023-01-12,2023-01-14,2023-01-23,Road,14298.61,0,None,None,19,0.6,Org16,0,854,1,10,0.0935,2.41,386.85,0
O1007,B7,S30,Food,136,2023-01-25,2023-01-27,2023-02-05,Air,10929.9,0,None,None,14,0.63,Org12,1,189,1,8,0.2549,1.13,246.71,0
O1008,B16,S24,Food,115,2023-10-28,2023-10-29,2023-11-07,Sea,47893.68,0,None,None,4,0.75,Org18,1,424,1,9,0.301,2.81,367.38,0
O1009,B26,S13,Machinery,613,2023-08-31,2023-09-01,2023-09-10,Sea,938.73,1,Shortage,High,19,0.53,Org17,0,879,1,6,0.0827,3.14,305.37,1
O1010,B30,S25,Textiles,808,2023-05-02,2023-05-05,2023-05-08,Rail,49892.13,0,None,None,2,0.61,Org6,0,244,1,10,0.2054,2.64,477.82,0
O1011,B30,S14,Food,387,2023-05-27,2023-05-31,2023-06-05,Rail,34002.65,0,None,None,4,0.97,Org13,0,864,1,2,0.4532,1.97,319.01,0
O1012,B42,S3,Machinery,914,2023-02-24,2023-02-28,2023-03-07,Rail,41509.23,0,None,None,7,0.73,Org15,1,717,1,2,0.4995,3.75,56.69,0
O1013,B49,S8,Pharma,60,2023-08-26,2023-08-28,2023-09-05,Sea,15083.66,1,Weather,Low,7,0.72,Org17,0,829,0,4,0.4937,0.84,208.79,1
O1014,B3,S5,Textiles,38,2023-12-22,2023-12-23,2024-01-01,Air,1208.61,7,Customs,Low,7,0.51,Org13,1,89,1,9,0.442,4.61,114.38,1
O1015,B34,S9,Pharma,471,2023-06-22,2023-06-24,2023-06-27,Air,37024.54,0,None,None,11,0.62,Org2,1,656,1,7,0.2034,0.59,466.09,0
O1016,B7,S27,Textiles,305,2023-08-09,2023-08-10,2023-08-13,Sea,41790.16,1,Customs,Low,7,0.93,Org17,0,31,1,2,0.3464,4.83,96.81,1
O1017,B17,S16,Machinery,306,2023-04-29,2023-04-30,2023-05-07,Air,37153.57,0,None,None,10,0.58,Org14,1,486,1,8,0.2141,2.58,224.47,0
